Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hermann Bahr","10815","Felix Salten","Felix Salten","1897","Directed","Hermann Bahr an Felix Salten","14.705882352941176"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Paul Goldmann an Arthur Schnitzler","39"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Felix Salten an Arthur Schnitzler","19"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1897","Directed","Arthur Schnitzler an Felix Salten","11.76470588235294"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Paul Goldmann an Richard Beer-Hofmann","5 75"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1897","Directed","Felix Salten an Hermann Bahr","1.3157894736842106"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Hermann Bahr an Arthur Schnitzler","7"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1898","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","36.58536585365854"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","27"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1898","Directed","Arthur Schnitzler an Hermann Bahr","10.526315789473685"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Richard Beer-Hofmann an Arthur Schnitzler","16"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Arthur Schnitzler an Richard Beer-Hofmann","31"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","16"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1898","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","17.073170731707318"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1898","Directed","Hugo von Hofmannsthal an Hermann Bahr","36.8421052631579"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1898","Directed","Hermann Bahr an Hugo von Hofmannsthal","21.951219512195124"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Hermann Bahr an Richard Beer-Hofmann","1"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1898","Directed","Hugo von Hofmannsthal an Felix Salten","5.88235294117647"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1898","Directed","Hermann Bahr an Felix Salten","11.76470588235294"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Paul Goldmann an Arthur Schnitzler","30"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Felix Salten an Arthur Schnitzler","9"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1898","Directed","Arthur Schnitzler an Felix Salten","11.76470588235294"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Paul Goldmann an Richard Beer-Hofmann","2 75"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1898","Directed","Felix Salten an Hermann Bahr","1.3157894736842106"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","33"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Arthur Schnitzler an Richard Beer-Hofmann","38"
