Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hermann Bahr","10815","Felix Salten","Felix Salten","1897","Directed","Hermann Bahr an Felix Salten","10"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Paul Goldmann an Arthur Schnitzler","78"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Felix Salten an Arthur Schnitzler","38"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Paul Goldmann an Richard Beer-Hofmann","10"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","54"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1898","Directed","Arthur Schnitzler an Hermann Bahr","16"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Arthur Schnitzler an Richard Beer-Hofmann","62"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","32"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1898","Directed","Hugo von Hofmannsthal an Hermann Bahr","56"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1898","Directed","Hugo von Hofmannsthal an Felix Salten","4"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1898","Directed","Hermann Bahr an Felix Salten","8"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Paul Goldmann an Arthur Schnitzler","60"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1898","Directed","Felix Salten an Arthur Schnitzler","18"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1898","Directed","Paul Goldmann an Richard Beer-Hofmann","4"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","66"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Arthur Schnitzler an Richard Beer-Hofmann","76"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","20"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1899","Directed","Hugo von Hofmannsthal an Hermann Bahr","30"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
